∝,f0ffff,"15.Aug.22.Mon 7:54:44 AM",49.97.104.132
♯,fff000,"15.Aug.22.Mon 9:47:08 AM",122.27.36.85
〜,b0c4de,"15.Aug.22.Mon 9:47:26 AM",122.27.36.85
⎷,ffdab9,"15.Aug.22.Mon 9:47:44 AM",122.27.36.85
◡,483d8b,"15.Aug.22.Mon 9:48:17 AM",122.27.36.85
∝,ffb6c1,"15.Aug.22.Mon 9:48:52 AM",122.27.36.85
⟡,ff0000,"15.Aug.22.Mon 10:19:38 AM",122.27.36.85
∰,0000cd,"15.Aug.22.Mon 11:01:34 AM",2001:268:9a57:2848:9001:7dff:fe6c:4bf8
∰,0000cd,"15.Aug.22.Mon 11:02:07 AM",2001:268:9a57:2848:9001:7dff:fe6c:4bf8
⍥,008080,"15.Aug.22.Mon 11:10:28 AM",106.131.197.26
◡,ff8c00,"15.Aug.22.Mon 2:06:00 PM",103.5.140.159
∰,483d8b,"15.Aug.22.Mon 2:54:10 PM",2001:268:9a78:f3d1:6143:98de:d221:5702
¶,ba55d3,"15.Aug.22.Mon 2:55:05 PM",2001:268:9a78:f3d1:6143:98de:d221:5702
⍥,008080,"15.Aug.22.Mon 3:20:00 PM",126.158.165.171
♯,b0c4de,"15.Aug.22.Mon 11:12:36 PM",2001:268:9a8d:6954:4536:4b0e:ca15:233f
